title,link,company,salary,location,exp
Embedded Software Engineer (1 Year Contractor),https://www.topcv.vn/viec-lam/embedded-software-engineer-1-year-contractor/1886733.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,CÔNG TY TNHH BOSCH GLOBAL SOFTWARE TECHNOLOGIES,Thoả thuận,Hồ Chí Minh,3 năm
Senior SAP MM Consultant (HCM/Hanoi),https://www.topcv.vn/viec-lam/senior-sap-mm-consultant-hcm-hanoi/1884093.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,CÔNG TY TNHH BOSCH GLOBAL SOFTWARE TECHNOLOGIES,Thoả thuận,"Hồ Chí Minh, Hà Nội",5 năm
BI Developer (OAS/OBIEE),https://www.topcv.vn/viec-lam/bi-developer-oas-obiee/1832070.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,ProFPT IS,Thoả thuận,Hà Nội,2 năm
Data Engineer (Kỹ Sư Dữ Liệu),https://www.topcv.vn/brand/educa/tuyen-dung/data-engineer-ky-su-du-lieu-j1885454.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,EDUPIA,Tới 30 triệu,Hà Nội,3 năm
"Senior Software Engineer (Java, Angular) Upto 50M",https://www.topcv.vn/viec-lam/senior-software-engineer-java-angular-upto-50m/1855499.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,CÔNG TY TNHH CNV HOLDINGS,30 - 50 triệu,Hồ Chí Minh,5 năm
Manual Tester (Có Tiếng Nhật),https://www.topcv.vn/viec-lam/manual-tester-co-tieng-nhat/1854122.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,Công ty Cổ phần JVB Việt Nam,Tới 30 triệu,Hà Nội,1 năm
"Embedded Software Developer For AI App (Ít Nhất 1 Năm Kinh Nghiệm, Ko Nhận Fresher, C/C++, Python, Shell Script)",https://www.topcv.vn/viec-lam/embedded-software-developer-for-ai-app-it-nhat-1-nam-kinh-nghiem-ko-nhan-fresher-c-c-python-shell-script/1557688.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,Công ty TNHH Vietsol,Thoả thuận,Hà Nội,1 năm
"Senior QA (3 Năm Kinh Nghiệm, Đi Làm Ngay)",https://www.topcv.vn/viec-lam/senior-qa-3-nam-kinh-nghiem-di-lam-ngay/1889276.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,CÔNG TY CỔ PHẦN CÔNG NGHỆ DCORP,Thoả thuận,Hồ Chí Minh,3 năm
Nhân Viên Tư Vấn Website - Không Yêu Cầu Kinh Nghiệm,https://www.topcv.vn/viec-lam/nhan-vien-tu-van-website-khong-yeu-cau-kinh-nghiem/28632.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,Công ty TNHH Thương Mại Và Dịch Vụ Nina,8.5 - 32.5 triệu,Hồ Chí Minh,Không yêu cầu
Chuyên Viên Cao Cấp An Toàn Thông Tin,https://www.topcv.vn/viec-lam/chuyen-vien-cao-cap-an-toan-thong-tin/1841975.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,CÔNG TY CỔ PHẦN CHỨNG KHOÁN DẦU KHÍ (PSI),Thoả thuận,Hà Nội,3 năm
"Nhân Viên Dọn Máy, Dựng Máy Android - Hệ Thống Box Phone Farm (Đi Làm Ngay) Được Đào Tạo Nếu Không Biết Việc",https://www.topcv.vn/viec-lam/nhan-vien-don-may-dung-may-android-he-thong-box-phone-farm-di-lam-ngay-duoc-dao-tao-neu-khong-biet-viec/1892527.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,CÔNG TY TNHH GIẢI PHÁP VÀ CÔNG NGHỆ BESTMOON,7 - 9 triệu,Hồ Chí Minh,Không yêu cầu
Workflow Automation Specialist (Focus On HR) Lương 15-20 Triệu,https://www.topcv.vn/viec-lam/workflow-automation-specialist-focus-on-hr-luong-15-20-trieu/1894622.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,CÔNG TY CỔ PHẦN MẮT BÃO,15 - 20 triệu,Hồ Chí Minh,2 năm
Chuyên Viên Phân Tích Nghiệp Vụ (BA/PO)- Domain Bank,https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-nghiep-vu-ba-po-domain-bank/1886869.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,Công Ty Cổ Phần GoGroup,15 - 30 triệu,Hà Nội,3 năm
Golang Developer (Blockchain/Web3),https://www.topcv.vn/viec-lam/golang-developer-blockchain-web3/1890675.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,CÔNG TY TNHH NEXSOFT TECHNOLOGY,Thoả thuận,Hồ Chí Minh,5 năm
DevOps Engineer,https://www.topcv.vn/viec-lam/devops-engineer/1884711.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,CÔNG TY CỔ PHẦN JARVIS GLOBAL,25 - 45 triệu,Hà Nội,2 năm
IT Support (Hosting),https://www.topcv.vn/viec-lam/it-support-hosting/1893654.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,ProViettel IDC,Thoả thuận,Hà Nội,1 năm
Trưởng Phòng Phân Tích Dữ Liệu - Collection Data Analyst,https://www.topcv.vn/viec-lam/truong-phong-phan-tich-du-lieu-collection-data-analyst/1631299.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,GALAXY DEBT TRADING COMPANY LIMITED,Thoả thuận,Hồ Chí Minh,2 năm
Chuyên Viên Vận Hành Hệ Thống SAP (PP-QM),https://www.topcv.vn/viec-lam/chuyen-vien-van-hanh-he-thong-sap-pp-qm/1888758.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,Công ty Cổ phần Xuất nhập khẩu Bến Tre,Thoả thuận,Hồ Chí Minh,3 năm
Senior Full Stack JS Engineer,https://www.topcv.vn/viec-lam/senior-full-stack-js-engineer/1885249.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,Công ty Cổ phần GEM,"900 - 2,100 USD","Hà Nội, Hồ Chí Minh",3 năm
Senior .NET Developer,https://www.topcv.vn/viec-lam/senior-net-developer/1890277.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,Công ty Cổ phần VNEXT SOFTWARE,Tới 35 triệu,Hà Nội,5 năm
Junior Salesforce Developer,https://www.topcv.vn/viec-lam/junior-salesforce-developer/1745091.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,Công Ty TNHH Avepoint Việt Nam,Thoả thuận,"Hà Nội, Đà Nẵng",Dưới 1 năm
"Thiết Kế Đồ Họa 2D - Khu Vực Phạm Hùng, Quận 8",https://www.topcv.vn/viec-lam/thiet-ke-do-hoa-2d-khu-vuc-pham-hung-quan-8/1893109.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ KHA LINH,9 - 15 triệu,Hồ Chí Minh,1 năm
Lập Trình Viên Nodejs Kn 2 Năm,https://www.topcv.vn/viec-lam/lap-trinh-vien-nodejs-kn-2-nam/1857055.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,Công ty cổ phần giải pháp MKT,10 - 20 triệu,Hà Nội,2 năm
Data /MLops Engineer - Salary Upto 30M,https://www.topcv.vn/viec-lam/data-mlops-engineer-salary-upto-30m/1501256.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,CÔNG TY CỔ PHẦN CÔNG NGHỆ UPP TOÀN CẦU,Tới 30 triệu,Hà Nội,2 năm
Nhân Viên Thiết Kế (UI/UX Designer),https://www.topcv.vn/viec-lam/nhan-vien-thiet-ke-ui-ux-designer/1674592.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,CÔNG TY TNHH ZAM MART (VIỆT NAM),12 - 15 triệu,Hồ Chí Minh,2 năm
Graphic & 3D Designer (Quận 7),https://www.topcv.vn/viec-lam/graphic-3d-designer-quan-7/1882974.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,CÔNG TY TNHH THƯƠNG MẠI THỂ THAO HỒNG ÂN,Thoả thuận,Hồ Chí Minh,2 năm
Flutter Developer (Web3 ),https://www.topcv.vn/viec-lam/flutter-developer-web3/1890622.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,CÔNG TY TNHH NEXSOFT TECHNOLOGY,Thoả thuận,Hồ Chí Minh,2 năm
Devops Engineer (Mảng Fintech) Lương Up To 45 Triệu,https://www.topcv.vn/viec-lam/devops-engineer-mang-fintech-luong-up-to-45-trieu/1855543.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,Công ty Cổ phần Funtap,30 - 45 triệu,Hà Nội,4 năm
Kỹ Sư Kiểm Thử Phần Mềm ( QA/ Tester),https://www.topcv.vn/viec-lam/ky-su-kiem-thu-phan-mem-qa-tester/1886559.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,CÔNG TY TNHH MỘT THÀNH VIÊN AN NINH MẠNG VIETTEL,Thoả thuận,Hà Nội,3 năm
Senior IOS Developer,https://www.topcv.vn/viec-lam/senior-ios-developer/1893297.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,Apero Technologies Group,35 - 55 triệu,Hồ Chí Minh,4 năm
Technical Support Engineer,https://www.topcv.vn/viec-lam/technical-support-engineer/1866458.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,Công Ty TNHH Avepoint Việt Nam,Thoả thuận,"Đà Nẵng, Hà Nội",1 năm
"[Middle, Senior] Mobile Developer  - (Flutter, React Native) - Khối Công Nghệ Thông Tin (HO25.397)",https://www.topcv.vn/brand/nganhangthuongmaicophanquandoi/tuyen-dung/middle-senior-mobile-developer-flutter-react-native-khoi-cong-nghe-thong-tin-ho25-397-j1887182.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,ProNGÂN HÀNG TMCP QUÂN ĐỘI – MBBANK,Thoả thuận,Hà Nội,2 năm
IT Helpdesk (Tiếng Anh Giao Tiếp),https://www.topcv.vn/viec-lam/it-helpdesk-tieng-anh-giao-tiep/1860919.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,Công ty TNHH Tổng công ty Công nghệ & Giải pháp CMC,Tới 12 triệu,Hà Nội,1 năm
AI & Automation Specialist (AI Engineer),https://www.topcv.vn/viec-lam/ai-automation-specialist-ai-engineer/1885169.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,Công ty Cổ phần SEONGON Thịnh Vượng,15 - 20 triệu,Hà Nội,3 năm
"Tester Tiếng Nhật (N2, Không Yêu Cầu Kinh Nghiệm)",https://www.topcv.vn/viec-lam/tester-tieng-nhat-n2-khong-yeu-cau-kinh-nghiem/1070465.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,CÔNG TY CỔ PHẦN OMINEXT,Thoả thuận,Hà Nội,Không yêu cầu
Business Analyst (Finance/ Banking),https://www.topcv.vn/viec-lam/business-analyst-finance-banking/1885233.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,ProFPT IS,Thoả thuận,Hà Nội,2 năm
"Backend Developer - Cloud Product (Golang, Java)",https://www.topcv.vn/viec-lam/backend-developer-cloud-product-golang-java/1351473.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,ProCông ty cổ phần Hạ tầng Viễn thông CMC Telecom,25 - 40 triệu,Hà Nội,3 năm
Chuyên Viên Phân Tích Nhiệp Vụ (BA) - Domain Bank,https://www.topcv.vn/viec-lam/chuyen-vien-phan-tich-nhiep-vu-ba-domain-bank/1864953.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,Công Ty Cổ Phần GoGroup,12 - 30 triệu,Hà Nội,3 năm
Chuyên Viên Kiểm Soát Chất Lượng (Tester) Tại Hà Nội,https://www.topcv.vn/viec-lam/chuyen-vien-kiem-soat-chat-luong-tester-tai-ha-noi/1894531.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,Công ty Cổ phần Công nghệ Pavana,Thoả thuận,Hà Nội,2 năm
.NET Developer (Build Product),https://www.topcv.vn/viec-lam/net-developer-build-product/1868362.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,Công ty Cổ phần Công nghệ KiotViet,25 - 40 triệu,Hà Nội,3 năm
Data Scientist,https://www.topcv.vn/viec-lam/data-scientist/1890311.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,ProCông ty CP Giải pháp Thanh toán Việt Nam (VNPAY),Thoả thuận,Hà Nội,1 năm
Thực Tập Sinh Công Nghệ Thông Tin,https://www.topcv.vn/viec-lam/thuc-tap-sinh-cong-nghe-thong-tin/1737030.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,CÔNG TY TNHH TM & DV NINA,Thoả thuận,Hồ Chí Minh,Không yêu cầu
Lập Trình Viên Java Fullstack Đi Làm Ngay - Upto 32M,https://www.topcv.vn/viec-lam/lap-trinh-vien-java-fullstack-di-lam-ngay-upto-32m/1272480.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,Công ty cổ phần phần mềm REVOTECH,Tới 32 triệu,Hà Nội,3 năm
Lập Trình Viên Backend .Net Senior,https://www.topcv.vn/viec-lam/lap-trinh-vien-backend-net-senior/1891935.html?ta_source=JobSearchList_LinkDetail&u_sr_id=OWFjZsRKAQncDoCDoIzhrTc8RmfYX35KjRhmF04p_1759550010,Công ty VTC Online,25 - 40 triệu,Hà Nội,5 năm
